Date,Open,High,Low,Volume BTC,Close,7 days later
5/7/2019,5687.9,5966.37,5687.9,6179.72,5907.47,0
5/6/2019,5715.86,5753.66,5564.93,0,5687.9,0
5/5/2019,5770.01,5782.22,5627.35,5700.46,5715.86,0
5/4/2019,5657.4,5846.88,5512,10457.85,5770.01,0
5/3/2019,5390.01,5796.93,5363,19076.57,5657.4,0
5/2/2019,5321.15,5422.99,5306.09,7181.06,5390.01,0
5/1/2019,5270.69,5358.39,5265.61,7128.85,5321.15,0
4/30/2019,5148.25,5285,5126.25,7203.05,5270.69,5907.47
4/29/2019,5155,5189.54,5072.01,7285.66,5148.25,5687.9
4/28/2019,5170.6,5214.5,5101,4907.63,5155,5715.86
4/27/2019,5159.51,5221.24,5117.46,4261.41,5170.6,5770.01
4/26/2019,5134.81,5295.03,5041.14,14211.29,5159.51,5657.4
4/25/2019,5441.9,5512.12,4963,16761.42,5134.81,5390.01
4/24/2019,5532.75,5624.47,5374,14767.24,5441.9,5321.15
4/23/2019,5387.6,5650.01,5361.01,17566.38,5532.75,5270.69
4/22/2019,5297.64,5440.84,5250.45,11965.4,5387.6,5148.25
4/21/2019,5319.89,5349.16,5213.34,5739.01,5297.64,5155
4/20/2019,5290.37,5359.98,5260.24,4881.14,5319.89,5170.6
4/19/2019,5281.81,5359.47,5196.7,6230.69,5290.37,5159.51
4/18/2019,5227,5318.18,5222.26,8214.7,5281.81,5134.81
4/17/2019,5202.9,5272.32,5173.11,7396.94,5227,5441.9
4/16/2019,5029.99,5229.97,5016.45,8604.75,5202.9,5532.75
4/15/2019,5164.27,5193.01,4945.54,9607.43,5029.99,5387.6
4/14/2019,5066.22,5191.19,5013.81,4401.42,5164.27,5297.64
4/13/2019,5078.19,5123.28,5036.74,4284.12,5066.22,5319.89
4/12/2019,5040.12,5118.56,4901.99,9858.67,5078.19,5290.37
4/11/2019,5318.58,5342.74,4967.24,15029.95,5040.12,5281.81
4/10/2019,5193.49,5488,5164.49,16026.52,5318.58,5227
4/9/2019,5285.54,5287,5145,9692.89,5193.49,5202.9
4/8/2019,5194.79,5352.5,5132.28,15523.75,5285.54,5029.99
4/7/2019,5044.13,5270.33,5029.7,10073.94,5194.79,5164.27
4/6/2019,5040.66,5244.04,4925,11990.17,5044.13,5066.22
4/5/2019,4907.3,5066.59,4887.34,11560.17,5040.66,5078.19
4/4/2019,4975.97,5071.34,4778.84,15160.91,4907.3,5040.12
4/3/2019,4901.93,5345,4787.11,33951.68,4975.97,5318.58
4/2/2019,4137.01,5100.78,4133.15,28678.1,4901.93,5193.49
4/1/2019,4094.99,4149.5,4051.53,7735.88,4137.01,5285.54
3/19/2019,3970.5,3984.58,3969.58,361.69,3975.01,5194.79
3/18/2019,3967.01,4015.7,3937.69,5416.76,3970.5,5044.13
3/17/2019,3990,3991,3936.3,3285.58,3967.01,5040.66
3/16/2019,3902.8,4037.47,3900.93,6188.47,3990,4907.3
3/15/2019,3853.95,3910,3846.79,6550.17,3902.8,4975.97
3/14/2019,3851.02,3900,3779.28,6992.9,3853.95,4901.93
3/13/2019,3860,3871.02,3827.5,5460.66,3851.02,4137.01
3/12/2019,3849.68,3875.33,3798.16,6489.22,3860,3975.01
3/11/2019,3900.92,3911.83,3817.01,5750.54,3849.68,3970.5
3/10/2019,3917,3917,3867.84,3444.59,3900.92,3967.01
3/9/2019,3843.12,3947.33,3834.59,5170.55,3917,3990
3/8/2019,3857.05,3910.88,3771,8160.65,3843.12,3902.8
3/7/2019,3851.89,3891,3830.79,6997.28,3857.05,3853.95
3/6/2019,3844.59,3894.7,3812,6615.04,3851.89,3851.02
3/5/2019,3700.72,3874.98,3692.36,8617.6,3844.59,3860
3/4/2019,3786.93,3804.99,3672.39,7793.41,3700.72,3849.68
3/3/2019,3809.7,3815.48,3763.62,3839.56,3786.93,3900.92
3/2/2019,3806.17,3818.08,3763,3583.18,3809.7,3917
3/1/2019,3792.14,3843,3791.31,6474.64,3806.17,3843.12
2/28/2019,3799.92,3899.99,3755.21,8766.86,3792.14,3857.05
2/27/2019,3799.48,3823.13,3655,7410.2,3799.92,3851.89
2/26/2019,3818.79,3826.37,3763.71,6309.89,3799.48,3844.59
2/25/2019,3734.22,3860,3731.09,10610.58,3818.79,3700.72
2/24/2019,4110,4188.79,3712.84,14145.95,3734.22,3786.93
2/23/2019,3942.02,4156.1,3911.3,9881.57,4110,3809.7
2/22/2019,3897.71,3956.43,3886.15,7477.11,3942.02,3806.17
2/21/2019,3938.99,3988,3869.45,8198.49,3897.71,3792.14
2/20/2019,3888.01,3967.19,3867.13,8325.53,3938.99,3799.92
2/19/2019,3867,3969.54,3841.54,13795.19,3888.01,3799.48
2/18/2019,3625.08,3917,3616.18,15037.03,3867,3818.79
2/17/2019,3582.37,3675,3557.43,5781.9,3625.08,3734.22
2/16/2019,3566.59,3607.36,3565.5,4156.81,3582.37,4110
2/15/2019,3561.5,3620.22,3545.89,6844.45,3566.59,3942.02
2/14/2019,3576.68,3589,3535.1,5661.32,3561.5,3897.71
2/13/2019,3588.06,3627.99,3562.98,6850.51,3576.68,3938.99
2/12/2019,3590.36,3618.77,3550,7722.15,3588.06,3888.01
2/11/2019,3648.85,3652,3579.38,8107.71,3590.36,3867
2/10/2019,3623.73,3654.28,3578.59,5165.23,3648.85,3625.08
2/9/2019,3622,3642.11,3597,4887.47,3623.73,3582.37
2/8/2019,3359,3711,3344,15716.99,3622,3566.59
2/7/2019,3367.36,3383.14,3352.01,8292.37,3359,3561.5
2/6/2019,3428.4,3441,3340.8,8897.36,3367.36,3576.68
2/5/2019,3409.57,3429.46,3400,5993.48,3428.4,3588.06
2/4/2019,3414.78,3435,3395.1,5727.22,3409.57,3590.36
2/3/2019,3468.43,3471.76,3386.45,4341.6,3414.78,3648.85
2/2/2019,3437.5,3483.24,3414.49,3813.96,3468.43,3623.73
2/1/2019,3411.49,3458.26,3369.62,8410.91,3437.5,3622
1/31/2019,3437.55,3473.4,3396.74,7148.39,3411.49,3359
1/30/2019,3397.42,3459.41,3373.35,8293.61,3437.55,3367.36
1/29/2019,3429.95,3438.4,3337.87,8168.2,3397.42,3428.4
1/28/2019,3531.01,3535.92,3374.02,11621.01,3429.95,3409.57
1/27/2019,3556.07,3562.9,3471.98,3868.19,3531.01,3414.78
1/26/2019,3562.18,3657.76,3540,4534.02,3556.07,3468.43
1/25/2019,3568.97,3578.79,3510.01,6547.88,3562.18,3437.5
1/24/2019,3553.01,3595.83,3530.1,5607.18,3568.97,3411.49
1/23/2019,3577.03,3614.47,3523.64,7628.41,3553.01,3437.55
1/22/2019,3531.76,3611.5,3425,8672.66,3577.03,3397.42
1/21/2019,3536.19,3568.95,3487.37,6240.95,3531.76,3429.95
1/20/2019,3682.65,3703.39,3481.01,6721.45,3536.19,3531.01
1/19/2019,3607.85,3759.98,3604.9,4765.26,3682.65,3556.07
1/18/2019,3640.65,3643.69,3580.16,5741.49,3607.85,3562.18
1/17/2019,3609.71,3657,3541.29,8526.63,3640.65,3568.97
1/16/2019,3580.76,3666.73,3572.52,8531.11,3609.71,3553.01
1/15/2019,3664.19,3684.38,3540,10048.6,3580.76,3577.03
1/14/2019,3514.24,3711.1,3509.24,10607.81,3664.19,3531.76
1/13/2019,3619.41,3641.86,3482,7072.38,3514.24,3536.19
1/12/2019,3635.69,3649.18,3557.29,5418.47,3619.41,3682.65
1/11/2019,3626.12,3699.26,3576.09,13866.3,3635.69,3607.85
1/10/2019,4004.12,4035.21,3560,18967.77,3626.12,3640.65
1/9/2019,3993.86,4042.2,3962.12,10180.99,4004.12,3609.71
1/8/2019,4006.01,4114.8,3945,12850.61,3993.86,3580.76
1/7/2019,4040.99,4070,3968.79,9408.71,4006.01,3664.19
1/6/2019,3798.62,4088,3756.01,8949.92,4040.99,3514.24
1/5/2019,3820.25,3874.12,3775,6205.09,3798.62,3619.41
1/4/2019,3787.57,3849,3730,8951.89,3820.25,3635.69
1/3/2019,3890.79,3893.8,3758.07,8715.63,3787.57,3626.12
1/2/2019,3826.09,3916.57,3770.07,9536.46,3890.79,4004.12
1/1/2019,3691.86,3841.17,3651.02,10364.91,3826.09,3993.86
12/31/2018,3829,3835.4,3625.84,11743.89,3691.86,4006.01
12/30/2018,3729.31,3863.06,3691.01,8281.34,3829,4040.99
12/29/2018,3888.06,3944.33,3706,8888.81,3729.31,3798.62
12/28/2018,3589.89,3971.58,3576.12,15655.27,3888.06,3820.25
12/27/2018,3809.88,3841.21,3567,12383.47,3589.89,3787.57
12/26/2018,3780,3849.2,3685.02,8763.53,3809.88,3890.79
12/25/2018,4034,4045.41,3676.15,11888.87,3780,3826.09
12/24/2018,3944.93,4239.37,3944.92,18459.12,4034,3691.86
12/23/2018,3980.46,4050,3904.87,9760.55,3944.93,3829
12/22/2018,3839.06,4005,3790.16,9641.35,3980.46,3729.31
12/21/2018,4075.34,4162.27,3775,21880.53,3839.06,3888.06
12/20/2018,3682.51,4175,3661.5,28862.88,4075.34,3589.89
12/19/2018,3667.77,3928.15,3642.17,27118.36,3682.51,3809.88
12/18/2018,3496.82,3688,3436.5,16101.1,3667.77,3780
12/17/2018,3195,3585.95,3184.28,20649.01,3496.82,4034
12/16/2018,3183,3258,3181.24,6960.21,3195,3944.93
12/15/2018,3195.71,3228.69,3130,9032.11,3183,3980.46
12/14/2018,3265,3294.9,3135,13684.44,3195.71,3839.06
12/13/2018,3430.24,3439.63,3227.96,13289.12,3265,4075.34
12/12/2018,3349.36,3486.16,3325.58,10238.1,3430.24,3682.51
12/11/2018,3410.15,3424.92,3293.49,10574.9,3355.68,3667.77
12/10/2018,3531.18,3590.71,3354.97,12950.67,3410.15,3496.82
12/9/2018,3401,3642.51,3373.52,11241.81,3531.18,3195
12/8/2018,3380.01,3495,3253.66,13145.57,3401,3183
12/7/2018,3433.26,3544.99,3212,34994.71,3380.01,3195.71
12/6/2018,3694.39,3849,3401,26157.21,3433.26,3265
12/5/2018,3901.84,3912.53,3660,14074.46,3694.39,3430.24
12/4/2018,3833.47,4035.1,3732.43,15556.85,3901.84,3355.68
12/3/2018,4103.19,4119.98,3741.95,15624.16,3833.47,3410.15
12/2/2018,4142.01,4263.77,4036,10461.93,4103.19,3531.18
12/1/2018,3976,4275.42,3910.08,9685.27,4142.01,3401
11/30/2018,4248,4297.71,3869,18112.45,3975.48,3380.01
11/29/2018,4225.03,4410.52,4078.21,19053.48,4248,3433.26
11/28/2018,3775,4365,3775,34203.59,4225.03,3694.39
11/27/2018,3731.32,3830,3562.9,22536.15,3775,3901.84
11/26/2018,3936.69,4076.25,3510,34144.92,3731.32,3833.47
11/25/2018,3774.99,4120,3457.81,36576.28,3936.69,4103.19
11/24/2018,4283.8,4370.78,3650.84,20501.98,3774.99,4142.01
11/23/2018,4263.66,4366.05,4086.16,18389.56,4283.8,3975.48
11/22/2018,4545.11,4589,4238.69,12107.2,4263.66,4248
11/21/2018,4349.23,4627.55,4239.01,27423.73,4545.11,4225.03
11/20/2018,4733.5,4889,4035,61797.01,4349.23,3775
11/19/2018,5560,5560,4670.63,36133.96,4733.5,3731.32
